group,actor_mode,critic_mode,seed,task_idx,env,run_id,n_evals,best_success,end_success,mean_success_during_training,auc_success,stability,cell
for_real,cka,persistent,101,4,sawyer_stick_pull,7aecl5d0,159.0,1.0,0.8,0.549685534591195,0.5506329113924051,0.8,actor=cka-critic=persistent
for_real,cka,reset,97,0,sawyer_hammer,utkragn3,159.0,1.0,0.9,0.908805031446541,0.9110759493670886,0.9,actor=cka-critic=reset
for_real,cka,reset,97,1,sawyer_push_wall,aopmmv7r,159.0,1.0,0.6,0.33396226415094343,0.3341772151898734,0.6,actor=cka-critic=reset
for_real,cka,reset,97,2,sawyer_faucet_close,cr2x07p8,159.0,0.9,0.7,0.4232704402515724,0.4234177215189873,0.7777777777777777,actor=cka-critic=reset
for_real,cka,reset,97,3,sawyer_push_back,m4fm1x7o,159.0,1.0,1.0,0.7257861635220125,0.7272151898734177,1.0,actor=cka-critic=reset
for_real,cka,reset,97,4,sawyer_stick_pull,vu1kami2,159.0,1.0,0.9,0.5465408805031446,0.5471518987341772,0.9,actor=cka-critic=reset
for_real,cka,reset,97,5,sawyer_handle_press_side,0rr9vmyx,159.0,0.3,0.0,0.020125786163522015,0.019936708860759492,0.0,actor=cka-critic=reset
for_real,cka,reset,97,6,sawyer_push,1l8p66nq,159.0,1.0,0.2,0.37735849056603776,0.37911392405063293,0.2,actor=cka-critic=reset
for_real,cka,reset,97,7,sawyer_shelf_place,yb88j78h,159.0,0.9,0.5,0.08364779874213836,0.08259493670886076,0.5555555555555556,actor=cka-critic=reset
for_real,cka,reset,98,0,sawyer_hammer,9nivq327,159.0,1.0,0.9,0.9232704402515723,0.9234177215189874,0.9,actor=cka-critic=reset
for_real,cka,reset,98,1,sawyer_push_wall,f3nbk4lz,159.0,1.0,0.9,0.5691823899371069,0.5699367088607595,0.9,actor=cka-critic=reset
for_real,cka,reset,98,2,sawyer_faucet_close,s2plunr8,159.0,0.9,0.6,0.41446540880503147,0.4139240506329114,0.6666666666666666,actor=cka-critic=reset
for_real,cka,reset,98,3,sawyer_push_back,ds5bfc5z,159.0,1.0,0.9,0.8660377358490567,0.8686708860759493,0.9,actor=cka-critic=reset
for_real,cka,reset,98,4,sawyer_stick_pull,p6fmchhs,159.0,1.0,0.1,0.4534591194968553,0.4560126582278481,0.1,actor=cka-critic=reset
for_real,cka,reset,98,5,sawyer_handle_press_side,vygaseqw,159.0,0.3,0.0,0.024528301886792454,0.024367088607594938,0.0,actor=cka-critic=reset
for_real,cka,reset,98,6,sawyer_push,qmox37gn,159.0,1.0,0.0,0.5138364779874215,0.5170886075949367,0.0,actor=cka-critic=reset
for_real,cka,reset,98,7,sawyer_shelf_place,ebn4bdfh,159.0,1.0,0.3,0.23081761006289306,0.23132911392405064,0.3,actor=cka-critic=reset
for_real,cka,reset,99,0,sawyer_hammer,1zrml600,159.0,1.0,1.0,0.8974842767295599,0.8984177215189874,1.0,actor=cka-critic=reset
for_real,cka,reset,99,1,sawyer_push_wall,lhm4cfqd,159.0,1.0,1.0,0.7433962264150943,0.7449367088607595,1.0,actor=cka-critic=reset
for_real,cka,reset,99,2,sawyer_faucet_close,887tlenz,159.0,0.8,0.4,0.34842767295597477,0.3490506329113924,0.5,actor=cka-critic=reset
for_real,cka,reset,99,3,sawyer_push_back,wvzed9ty,159.0,1.0,0.7,0.8427672955974843,0.845886075949367,0.7,actor=cka-critic=reset
for_real,cka,reset,99,4,sawyer_stick_pull,gh0n6w65,159.0,1.0,0.9,0.6452830188679245,0.6465189873417722,0.9,actor=cka-critic=reset
for_real,cka,reset,99,5,sawyer_handle_press_side,0e6iqgde,159.0,0.3,0.0,0.03207547169811321,0.032278481012658226,0.0,actor=cka-critic=reset
for_real,cka,reset,99,6,sawyer_push,qoq39qlk,159.0,1.0,0.4,0.6157232704402515,0.6177215189873417,0.4,actor=cka-critic=reset
for_real,cka,reset,99,7,sawyer_shelf_place,gsfli88i,159.0,1.0,0.7,0.30503144654088055,0.304746835443038,0.7,actor=cka-critic=reset
for_real,cka,reset,100,0,sawyer_hammer,t8vub3kd,159.0,1.0,0.8,0.7949685534591197,0.7962025316455696,0.8,actor=cka-critic=reset
for_real,cka,reset,100,1,sawyer_push_wall,tntukf13,159.0,1.0,1.0,0.7547169811320755,0.7563291139240507,1.0,actor=cka-critic=reset
for_real,cka,reset,100,2,sawyer_faucet_close,8s9rn2ko,159.0,0.8,0.6,0.4062893081761006,0.40569620253164557,0.7499999999999999,actor=cka-critic=reset
for_real,cka,reset,100,3,sawyer_push_back,6s1yqs6b,159.0,1.0,1.0,0.8025157232704402,0.8044303797468354,1.0,actor=cka-critic=reset
for_real,cka,reset,100,4,sawyer_stick_pull,byo1q5fq,159.0,1.0,0.9,0.5522012578616352,0.5528481012658227,0.9,actor=cka-critic=reset
for_real,cka,reset,101,0,sawyer_hammer,tkpoe4uu,159.0,1.0,0.8,0.9213836477987422,0.9218354430379747,0.8,actor=cka-critic=reset
for_real,cka,reset,101,1,sawyer_push_wall,hvmzjqw9,159.0,1.0,0.7,0.539622641509434,0.5408227848101266,0.7,actor=cka-critic=reset
for_real,cka,reset,101,2,sawyer_faucet_close,944co5lf,159.0,0.9,0.4,0.410062893081761,0.40854430379746837,0.4444444444444445,actor=cka-critic=reset
for_real,cka,reset,101,3,sawyer_push_back,xwbpb8y8,159.0,1.0,1.0,0.840880503144654,0.8430379746835444,1.0,actor=cka-critic=reset
for_real,cka,reset,101,4,sawyer_stick_pull,pjld1jl4,159.0,1.0,0.7,0.6610062893081762,0.6629746835443038,0.7,actor=cka-critic=reset
for_real,persistent,cka,97,0,sawyer_hammer,pofjzzvn,159.0,1.0,1.0,0.9062893081761005,0.9069620253164556,1.0,actor=persistent-critic=cka
for_real,persistent,cka,97,1,sawyer_push_wall,ijipl1f2,159.0,1.0,0.6,0.5723270440251572,0.5740506329113924,0.6,actor=persistent-critic=cka
for_real,persistent,cka,97,2,sawyer_faucet_close,ue69fjd0,159.0,0.8,0.4,0.3949685534591196,0.395253164556962,0.5,actor=persistent-critic=cka
for_real,persistent,cka,97,3,sawyer_push_back,plm95531,159.0,1.0,0.9,0.7018867924528304,0.7034810126582278,0.9,actor=persistent-critic=cka
for_real,persistent,cka,97,4,sawyer_stick_pull,b0rijxg2,159.0,1.0,1.0,0.5811320754716981,0.5816455696202532,1.0,actor=persistent-critic=cka
