cell,group,actor_mode,critic_mode,task_idx,env,best_success_mean,best_success_std,best_success_sem,best_success_n,end_success_mean,end_success_std,end_success_sem,end_success_n,mean_success_during_training_mean,mean_success_during_training_std,mean_success_during_training_sem,mean_success_during_training_n,auc_success_mean,auc_success_std,auc_success_sem,auc_success_n,stability_mean,stability_std,stability_sem,stability_n,seeds
actor=cka-critic=persistent,real2,cka,persistent,3,sawyer_push_back,1.0,0.0,0.0,4,0.75,0.17320508075688773,0.08660254037844387,4,0.7034591194968554,0.05018195338570173,0.025090976692850864,4,0.7055379746835443,0.05083326657048437,0.025416633285242185,4,0.75,0.17320508075688773,0.08660254037844387,4,"97,98,99,101"
actor=cka-critic=persistent,for_real,cka,persistent,4,sawyer_stick_pull,1.0,0.0,0.0,5,0.44000000000000006,0.33615472627943227,0.1503329637837291,5,0.4830188679245283,0.08083045685035976,0.0361484792339536,5,0.48468354430379745,0.08175484542729693,0.03656187837308475,5,0.44000000000000006,0.33615472627943227,0.1503329637837291,5,"97,98,99,100,101"
actor=cka-critic=persistent,real1,cka,persistent,4,sawyer_stick_pull,1.0,0.0,0.0,4,0.5249999999999999,0.1707825127659933,0.08539125638299665,4,0.44496855345911945,0.10569094596244512,0.05284547298122256,4,0.4459651898734177,0.10669403642692059,0.053347018213460294,4,0.5249999999999999,0.1707825127659933,0.08539125638299665,4,"97,98,99,101"
actor=cka-critic=persistent,real2,cka,persistent,4,sawyer_stick_pull,1.0,0.0,0.0,4,0.6499999999999999,0.12909944487358058,0.06454972243679029,4,0.4878930817610063,0.09316158258028522,0.04658079129014261,4,0.48892405063291133,0.0935400072096404,0.0467700036048202,4,0.6499999999999999,0.12909944487358058,0.06454972243679029,4,"97,98,99,101"
actor=cka-critic=persistent,for_real,cka,persistent,5,sawyer_handle_press_side,0.13333333333333333,0.05773502691896258,0.03333333333333334,3,0.03333333333333333,0.05773502691896259,0.03333333333333334,3,0.00628930817610063,0.0021786802610929278,0.0012578616352201262,3,0.006118143459915612,0.002034525477002733,0.0011746338318206798,3,0.3333333333333333,0.5773502691896258,0.33333333333333337,3,"97,98,99"
actor=cka-critic=persistent,real1,cka,persistent,5,sawyer_handle_press_side,0.2,0.0816496580927726,0.0408248290463863,4,0.0,0.0,0.0,4,0.012735849056603774,0.001806466241049694,0.000903233120524847,4,0.012737341772151897,0.0019741526658452425,0.0009870763329226213,4,0.0,0.0,0.0,4,"97,98,99,101"
actor=cka-critic=persistent,real2,cka,persistent,5,sawyer_handle_press_side,0.125,0.05,0.025,4,0.0,0.0,0.0,4,0.00628930817610063,0.0022383811849122246,0.0011191905924561123,4,0.006329113924050633,0.002252548154436986,0.001126274077218493,4,0.0,0.0,0.0,4,"97,98,99,101"
actor=cka-critic=persistent,real1,cka,persistent,6,sawyer_push,1.0,0.0,0.0,4,0.325,0.26299556396765833,0.13149778198382917,4,0.4011006289308176,0.03650102287198693,0.018250511435993464,4,0.40261075949367087,0.03710625777080398,0.01855312888540199,4,0.325,0.26299556396765833,0.13149778198382917,4,"97,98,99,101"
actor=cka-critic=persistent,real2,cka,persistent,6,sawyer_push,0.975,0.04999999999999999,0.024999999999999994,4,0.55,0.47958315233127197,0.23979157616563598,4,0.44449685534591193,0.22161364494011546,0.11080682247005773,4,0.4455696202531646,0.22228844662069483,0.11114422331034741,4,0.55,0.47958315233127197,0.23979157616563598,4,"97,98,99,101"
actor=cka-critic=persistent,real1,cka,persistent,7,sawyer_shelf_place,0.7749999999999999,0.32015621187164245,0.16007810593582122,4,0.4,0.3366501646120693,0.16832508230603466,4,0.23867924528301887,0.202087193260984,0.101043596630492,4,0.2389240506329114,0.2024619144199186,0.1012309572099593,4,0.4222222222222222,0.33993463423951903,0.16996731711975951,4,"97,98,99,101"
actor=cka-critic=persistent,real2,cka,persistent,7,sawyer_shelf_place,0.05,0.1,0.05,4,0.0,0.0,0.0,4,0.002515723270440252,0.005031446540880504,0.002515723270440252,4,0.002531645569620253,0.005063291139240506,0.002531645569620253,4,0.0,0.0,0.0,4,"97,98,99,101"
actor=cka-critic=persistent,real1,cka,persistent,8,sawyer_window_close,0.37500000000000006,0.09574271077563382,0.04787135538781691,4,0.05,0.1,0.05,4,0.05235849056603774,0.02428995088647191,0.012144975443235955,4,0.05245253164556962,0.02462718736752117,0.012313593683760586,4,0.16666666666666669,0.33333333333333337,0.16666666666666669,4,"97,98,99,101"
actor=cka-critic=persistent,real2,cka,persistent,8,sawyer_window_close,0.39999999999999997,0.1,0.05773502691896258,3,0.03333333333333333,0.05773502691896258,0.03333333333333334,3,0.01740041928721174,0.008924023754210805,0.005152287516748223,3,0.01740506329113924,0.008809753738655099,0.005086313692506833,3,0.11111111111111112,0.1924500897298753,0.11111111111111113,3,"97,98,99"
actor=cka-critic=persistent,real1,cka,persistent,9,sawyer_peg_unplug_side,0.725,0.09574271077563384,0.04787135538781692,4,0.39999999999999997,0.23094010767585027,0.11547005383792514,4,0.20770440251572325,0.050725197227249816,0.025362598613624908,4,0.20759493670886073,0.05072052019794595,0.025360260098972975,4,0.5297619047619048,0.2550510153051017,0.12752550765255086,4,"97,98,99,101"
actor=cka-critic=persistent,real2,cka,persistent,9,sawyer_peg_unplug_side,0.7333333333333333,0.1527525231651947,0.0881917103688197,3,0.2333333333333333,0.20816659994661327,0.12018504251546631,3,0.22327044025157236,0.09049394405180398,0.05224670295833997,3,0.2239451476793249,0.09171229679102143,0.05295011924029507,3,0.3571428571428572,0.3113499245386196,0.1797579627445417,3,"97,98,99"
actor=cka-critic=reset,for_real,cka,reset,0,sawyer_hammer,1.0,0.0,0.0,5,0.8799999999999999,0.08366600265340754,0.0374165738677394,5,0.8891823899371071,0.05368689912384689,0.024009511188419107,5,0.8901898734177216,0.05348616183735426,0.023919738744775834,5,0.8799999999999999,0.08366600265340754,0.0374165738677394,5,"97,98,99,100,101"
actor=cka-critic=reset,real1,cka,reset,0,sawyer_hammer,1.0,0.0,0.0,5,0.9199999999999999,0.08366600265340753,0.037416573867739396,5,0.8499371069182391,0.03175197580069833,0.014199915262057956,5,0.849620253164557,0.03184855783416272,0.014243108060504262,5,0.9199999999999999,0.08366600265340753,0.037416573867739396,5,"97,98,99,100,101"
