figure,series,env_steps,n_hover,press_minus_pi,press_rank,grad_cos,std_a,std_s,std_a_over_std_s,panel,feature,accuracy_drop,baseline_accuracy,n_pairs,delta_mm,success,her_succ,her_prog,her_succ_or_prog
inject,handle,189000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,190500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,192000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,193500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,195000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,196500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,198000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,199500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,201000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,202500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,204000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,205500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,207000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,208500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,210000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,211500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,213000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,214500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,216000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,217500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,219000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,220500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,222000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,223500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,225000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,226500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,228000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,229500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,231000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,232500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,234000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,235500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,237000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,238500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,240000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,241500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,243000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,244500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,246000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,247500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,249000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,250500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,252000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,253500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,255000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,256500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,258000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,259500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,261000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,262500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,264000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,265500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,267000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,268500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,270000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,271500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,273000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,274500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,276000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,277500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,279000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,280500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,282000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,283500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,285000,,,,,,,,her,,,,,,,0.03,0.0,0.03
